Desc: trk_pt_poly_1
Number of elements: 43107270
Epsilon: 0.0001
Entropy of bytes: 7.17431
------------------------------------------
bit 31:	0.00000000000000000 false
---------------------
bit 30:	0.45604687929153442 false
bit 29:	0.45604693889617920 false
bit 28:	0.45608833432197571 false
bit 27:	0.45678097009658813 false
bit 26:	0.47397321462631226 false
bit 25:	0.74299222230911255 false
bit 24:	0.94338351488113403 false
bit 23:	0.99087136983871460 false
---------------------
bit 22:	0.98118907213211060 false
bit 21:	0.99602466821670532 false
bit 20:	0.99801802635192871 false
bit 19:	0.99959754943847656 false
bit 18:	0.99987918138504028 false
bit 17:	0.99997907876968384 true
bit 16:	0.99999082088470459 true
bit 15:	0.99999821186065674 true
bit 14:	0.99999982118606567 true
bit 13:	0.99999970197677612 true
bit 12:	0.99999994039535522 true
bit 11:	0.99999982118606567 true
bit 10:	0.99999994039535522 true
bit  9:	0.99999994039535522 true
bit  8:	1.00000000000000000 true
bit  7:	0.99999994039535522 true
bit  6:	0.99999994039535522 true
bit  5:	0.99999994039535522 true
bit  4:	1.00000000000000000 true
bit  3:	1.00000000000000000 true
bit  2:	0.99999994039535522 true
bit  1:	0.99999994039535522 true
bit  0:	0.99999994039535522 true
